13.1951	0.00627178
13.3415	0.109547
14.2683	0.200767
15.1463	0.294704
15.878	0.405366
16.6341	0.57324
17.1951	0.7377
17.7805	0.965087
18.3171	1.21805
16.2381	0.00289855
16.619	0.121739
17.3571	0.194203
18.2619	0.307246
18.8571	0.42029
19.619	0.594203
20.0952	0.765217
20.4286	0.918841
20.6905	1.07536
20.9524	1.24058
19.3095	0
19.5714	0.0755102
20.2381	0.150748
20.9286	0.248776
21.5952	0.366871
22.1905	0.548027
22.5714	0.71551
22.9524	0.908707
23.1905	1.07374
23.381	1.24463
22.4769	0.00566298
22.8004	0.123481
23.5981	0.223757
24.453	0.405525
25.1702	0.629972
25.5511	0.829282
25.8584	1.01077
26.047	1.19448
25.3095	0.00E+00
25.5952	0.0764706
26.7381	0.261765
27.5	0.441176
27.881	0.623529
28.119	0.779412
28.3333	0.988235
28.4524	1.15588
